source;region;zone;date;cases;type;Nationalite
communique 43;DAKAR;DAKAR;2020-04-26;58;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-26;7;GUERIS;
communique 43;DAKAR;AIBD;2020-04-26;1;DECES;
communique 43;DAKAR;DAKAR;2020-04-27;64;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-27;1;GUERIS;
communique 43;DAKAR;AIBD;2020-04-27;1;DECES;
communique 43;DAKAR;DAKAR;2020-04-28;87;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-28;12;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-29;59;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-29;19;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-30;51;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-30;19;GUERIS;
communique 43;DAKAR;DAKAR;2020-05-01;91;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-01;22;GUERIS;
communique 43;DAKAR;DAKAR;2020-05-02;91;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-02;12;GUERIS;
communique 43;DAKAR;DAKAR;2020-05-03;67;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-03;4;GUERIS;
communique 43;DAKAR;DAKAR;2020-05-04;89;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-04;43;GUERIS;
communique 43;DAKAR;AIBD;2020-05-04;1;DECES;
communique 43;DAKAR;DAKAR;2020-05-05;58;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-05;55;GUERIS;
communique 43;DAKAR;AIBD;2020-05-05;1;DECES;
communique 43;DAKAR;DAKAR;2020-05-06;104;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-06;23;GUERIS;
communique 43;DAKAR;AIBD;2020-05-06;1;DECES;
communique 43;DAKAR;DAKAR;2020-05-07;59;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-07;69;GUERIS;
communique 43;DAKAR;AIBD;2020-05-07;1;DECES;
communique 43;DAKAR;DAKAR;2020-05-08;59;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-08;49;GUERIS;
communique 43;DAKAR;AIBD;2020-05-09;2;DECES;
communique 43;DAKAR;DAKAR;2020-05-09;83;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-09;32;GUERIS;
communique 43;DAKAR;AIBD;2020-05-10;3;DECES;
communique 43;DAKAR;DAKAR;2020-05-10;75;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-10;7;GUERIS;
communique 43;DAKAR;AIBD;2020-05-11;1;DECES;
communique 43;DAKAR;DAKAR;2020-05-11;177;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-11;65;GUERIS;	
communique 43;DAKAR;DAKAR;2020-05-12;109;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-05-12;27;GUERIS;	
